Problem Number;Problem Sub Status;Problem Change Date+Time;Problem Status
1-517490964;In Progress;2011-04-15T14:00:31+01:00;Accepted
1-517490964;Awaiting Assignment;2011-04-15T14:04:07+01:00;Queued
1-517490964;In Progress;2011-04-15T14:17:08+01:00;Accepted
1-517490964;Assigned;2011-04-15T14:17:14+01:00;Accepted
1-517490964;In Progress;2012-02-02T22:21:43+01:00;Accepted
1-517490964;Closed;2012-02-02T22:24:48+01:00;Completed
1-517828743;In Progress;2011-04-18T10:16:21+01:00;Accepted
1-517828743;Awaiting Assignment;2011-04-18T11:54:06+01:00;Queued
1-517828743;In Progress;2011-04-18T12:19:38+01:00;Accepted
1-517828743;Assigned;2011-04-18T12:19:46+01:00;Accepted
1-517828743;In Progress;2012-01-30T12:58:22+01:00;Accepted
1-517828743;Closed;2012-01-30T12:58:41+01:00;Completed
1-518362551;In Progress;2011-04-19T08:09:38+01:00;Accepted
1-518362551;Awaiting Assignment;2011-04-19T08:14:20+01:00;Queued
1-518362551;In Progress;2011-04-19T10:45:54+01:00;Accepted
1-518362551;Assigned;2011-04-19T10:46:02+01:00;Accepted
1-518362551;In Progress;2012-01-13T12:27:01+01:00;Accepted
1-518362551;Closed;2012-01-13T12:27:18+01:00;Completed
1-519020627;In Progress;2011-04-20T11:22:30+01:00;Accepted
1-519020627;Closed;2012-04-18T14:18:29+01:00;Completed
1-519054737;In Progress;2011-04-20T13:59:00+01:00;Accepted
1-519054737;In Progress;2011-10-03T16:52:11+01:00;Accepted
1-519054737;In Progress;2012-02-09T09:51:19+01:00;Accepted
1-519054737;Wait;2012-02-14T09:42:28+01:00;Accepted
1-519054737;Closed;2012-04-20T10:41:33+01:00;Completed
1-519065883;In Progress;2011-04-20T13:17:23+01:00;Accepted
1-519065883;In Progress;2011-04-20T13:37:02+01:00;Accepted
1-519065883;Awaiting Assignment;2011-04-20T13:38:15+01:00;Queued
1-519065883;In Progress;2011-04-29T07:36:38+01:00;Accepted
1-519065883;In Progress;2011-05-04T07:00:48+01:00;Accepted
1-519065883;Awaiting Assignment;2011-05-04T07:02:37+01:00;Queued
1-519065883;In Progress;2011-05-04T10:08:13+01:00;Accepted
1-519065883;Wait;2012-01-04T14:48:10+01:00;Accepted
1-519065883;Closed;2012-04-13T09:18:02+01:00;Completed
1-519085985;In Progress;2011-04-20T14:18:07+01:00;Accepted
1-519085985;Awaiting Assignment;2011-04-20T14:21:54+01:00;Queued
1-519085985;In Progress;2011-04-21T11:19:11+01:00;Accepted
1-519085985;Assigned;2011-04-21T11:19:25+01:00;Accepted
1-519085985;Awaiting Assignment;2011-04-22T11:39:46+01:00;Queued
1-519085985;Assigned;2011-04-22T11:42:02+01:00;Accepted
1-519085985;Assigned;2011-04-25T13:44:07+01:00;Accepted
1-519085985;Wait;2011-04-27T14:28:55+01:00;Accepted
1-519085985;Awaiting Assignment;2011-04-29T08:42:30+01:00;Queued
1-519085985;In Progress;2011-04-29T12:42:45+01:00;Accepted
1-519085985;Assigned;2011-04-29T12:42:52+01:00;Accepted
1-519085985;In Progress;2012-02-06T21:47:09+01:00;Accepted
1-519085985;Closed;2012-02-06T21:48:29+01:00;Completed
1-519147007;In Progress;2011-04-20T16:02:07+01:00;Accepted
1-519147007;Awaiting Assignment;2011-04-20T16:28:45+01:00;Queued
1-519147007;In Progress;2011-04-29T07:37:01+01:00;Accepted
1-519147007;Closed;2012-04-04T16:31:01+01:00;Completed
1-519167681;In Progress;2011-04-20T16:10:15+01:00;Accepted
1-519167681;Wait;2011-09-14T20:29:16+01:00;Accepted
1-519167681;Awaiting Assignment;2011-10-03T20:47:28+01:00;Queued
1-519167681;In Progress;2011-10-04T19:03:49+01:00;Accepted
1-519167681;Closed;2011-10-04T19:04:39+01:00;Completed
1-519167681;In Progress;2011-10-06T13:59:22+01:00;Accepted
1-519167681;Awaiting Assignment;2011-10-06T14:24:07+01:00;Queued
1-519167681;In Progress;2011-10-06T14:45:21+01:00;Accepted
1-519167681;Awaiting Assignment;2011-10-06T14:51:34+01:00;Queued
1-519167681;In Progress;2011-10-18T17:29:33+01:00;Accepted
1-519167681;Closed;2011-10-18T17:29:38+01:00;Completed
1-519167681;In Progress;2011-10-25T17:18:09+01:00;Accepted
1-519167681;Wait;2011-10-25T17:18:33+01:00;Accepted
1-519167681;In Progress;2011-10-27T13:05:46+01:00;Accepted
1-519167681;Wait;2011-10-27T13:11:51+01:00;Accepted
1-519167681;In Progress;2011-12-21T12:35:46+01:00;Accepted
1-519167681;Assigned;2012-02-01T12:48:08+01:00;Accepted
1-519167681;In Progress;2012-02-01T12:49:15+01:00;Accepted
1-519167681;Closed;2012-02-01T12:49:50+01:00;Completed
1-519386144;In Progress;2011-04-21T08:37:44+01:00;Accepted
1-519386144;Closed;2012-01-12T11:44:59+01:00;Completed
1-520127960;In Progress;2011-04-25T05:46:33+01:00;Accepted
1-520127960;Assigned;2011-04-25T05:48:34+01:00;Accepted
1-520127960;Closed;2012-01-26T11:31:40+01:00;Completed
1-520234084;In Progress;2011-04-25T17:18:25+01:00;Accepted
1-520234084;Awaiting Assignment;2011-04-25T17:19:30+01:00;Queued
1-520234084;In Progress;2011-04-25T17:27:12+01:00;Accepted
1-520234084;Assigned;2011-04-25T17:27:18+01:00;Accepted
1-520234084;In Progress;2012-01-30T16:00:27+01:00;Accepted
1-520234084;Closed;2012-01-30T16:00:57+01:00;Completed
1-520705880;In Progress;2011-04-26T16:44:41+01:00;Accepted
1-520705880;Wait;2011-11-15T12:56:41+01:00;Accepted
1-520705880;Closed;2012-05-29T09:18:46+01:00;Completed
1-521122392;In Progress;2011-04-27T13:24:33+01:00;Accepted
1-521122392;Awaiting Assignment;2011-04-27T13:31:57+01:00;Queued
1-521122392;In Progress;2011-04-27T13:55:20+01:00;Accepted
1-521122392;Assigned;2011-04-27T13:55:30+01:00;Accepted
1-521122392;In Progress;2012-02-06T21:25:14+01:00;Accepted
1-521122392;Closed;2012-02-06T21:28:23+01:00;Completed
1-521431857;In Progress;2011-04-28T10:49:58+01:00;Accepted
1-521431857;Awaiting Assignment;2011-04-28T10:54:58+01:00;Queued
1-521431857;In Progress;2011-04-28T10:59:18+01:00;Accepted
1-521431857;Assigned;2011-04-28T10:59:26+01:00;Accepted
1-521431857;In Progress;2012-01-30T21:56:57+01:00;Accepted
1-521431857;Closed;2012-01-30T22:01:30+01:00;Completed
1-521555370;In Progress;2011-04-28T13:48:40+01:00;Accepted
1-521555370;Closed;2012-02-27T09:11:09+01:00;Completed
1-521628291;In Progress;2011-04-28T15:29:42+01:00;Accepted
1-521628291;Closed;2012-05-29T16:02:34+01:00;Completed
1-522222222;In Progress;2011-05-02T08:45:31+01:00;Accepted
1-522222222;Closed;2012-02-27T14:31:45+01:00;Completed
1-522460624;In Progress;2011-05-03T06:29:33+01:00;Accepted
1-522460624;Awaiting Assignment;2011-05-03T06:31:51+01:00;Queued
1-522460624;In Progress;2011-11-21T11:49:53+01:00;Accepted
1-522460624;Assigned;2011-11-21T11:50:05+01:00;Accepted
1-522460624;Wait;2012-01-11T08:31:45+01:00;Accepted
1-522460624;Closed;2012-01-11T08:32:11+01:00;Completed
1-522734472;In Progress;2011-05-03T16:14:07+01:00;Accepted
1-522734472;Awaiting Assignment;2011-05-03T16:16:39+01:00;Queued
1-522734472;In Progress;2011-05-04T05:46:05+01:00;Accepted
1-522734472;Assigned;2011-05-04T05:46:17+01:00;Accepted
1-522734472;In Progress;2012-02-06T21:35:55+01:00;Accepted
1-522734472;Closed;2012-02-06T21:37:18+01:00;Completed
1-522949376;In Progress;2011-05-04T10:53:03+01:00;Accepted
1-522949376;Awaiting Assignment;2011-05-18T14:42:40+01:00;Queued
1-522949376;In Progress;2011-05-25T10:02:52+01:00;Accepted
1-522949376;Wait;2011-05-25T10:03:17+01:00;Accepted
1-522949376;Assigned;2011-11-23T12:57:40+01:00;Accepted
1-522949376;Wait;2011-11-23T14:14:56+01:00;Accepted
1-522949376;Closed;2012-01-11T14:34:26+01:00;Completed
1-523027945;In Progress;2011-05-04T13:57:47+01:00;Accepted
1-523027945;In Progress;2012-04-25T12:54:18+01:00;Accepted
1-523027945;Closed;2012-04-25T12:55:34+01:00;Completed
1-523069229;In Progress;2011-05-04T15:57:51+01:00;Accepted
1-523069229;In Progress;2011-05-04T16:08:09+01:00;Accepted
1-523069229;In Progress;2012-01-30T12:54:45+01:00;Accepted
1-523069229;Closed;2012-01-30T12:54:47+01:00;Completed
1-523311541;In Progress;2011-05-05T10:25:29+01:00;Accepted
1-523311541;Awaiting Assignment;2011-05-05T11:06:48+01:00;Queued
1-523311541;In Progress;2011-05-05T11:22:56+01:00;Accepted
1-523311541;Assigned;2011-05-05T11:23:27+01:00;Accepted
1-523311541;In Progress;2012-02-06T16:54:07+01:00;Accepted
1-523311541;Closed;2012-02-06T17:00:04+01:00;Completed
1-523361887;In Progress;2011-05-05T13:59:01+01:00;Accepted
1-523361887;Awaiting Assignment;2011-05-05T14:11:39+01:00;Queued
1-523361887;In Progress;2011-05-06T06:04:03+01:00;Accepted
1-523361887;Assigned;2011-05-06T06:04:09+01:00;Accepted
1-523361887;In Progress;2012-02-06T16:23:53+01:00;Accepted
1-523361887;Closed;2012-02-06T16:25:20+01:00;Completed
1-523392191;In Progress;2011-05-05T13:28:19+01:00;Accepted
1-523392191;Awaiting Assignment;2011-05-05T13:30:57+01:00;Queued
1-523392191;In Progress;2011-05-06T06:01:15+01:00;Accepted
1-523392191;Assigned;2011-05-06T06:01:21+01:00;Accepted
1-523392191;In Progress;2012-02-15T15:27:07+01:00;Accepted
1-523392191;Closed;2012-02-15T15:27:34+01:00;Completed
1-523637826;In Progress;2011-05-06T11:18:49+01:00;Accepted
1-523637826;Closed;2012-02-29T14:40:19+01:00;Completed
1-524169663;In Progress;2011-05-09T14:23:45+01:00;Accepted
1-524169663;In Progress;2011-05-09T14:29:28+01:00;Accepted
1-524169663;In Progress;2011-05-09T14:50:50+01:00;Accepted
1-524169663;Awaiting Assignment;2011-05-09T14:56:50+01:00;Queued
1-524169663;Awaiting Assignment;2011-05-09T15:02:06+01:00;Queued
1-524169663;In Progress;2011-05-11T09:39:36+01:00;Accepted
1-524169663;Assigned;2011-05-11T09:39:46+01:00;Accepted
1-524169663;Wait;2011-10-20T13:32:45+01:00;Accepted
1-524169663;Wait;2011-10-20T13:58:09+01:00;Accepted
1-524169663;Closed;2012-01-30T12:35:20+01:00;Completed
1-524328647;In Progress;2011-05-10T07:56:45+01:00;Accepted
1-524328647;Closed;2012-02-21T15:32:02+01:00;Completed
1-524356958;In Progress;2011-05-10T06:37:04+01:00;Accepted
1-524356958;Wait;2011-05-10T06:37:21+01:00;Accepted
1-524356958;Wait;2011-10-20T20:20:55+01:00;Accepted
1-524356958;Closed;2012-01-09T10:28:28+01:00;Completed
1-524375607;Assigned;2011-05-10T09:25:34+01:00;Accepted
1-524375607;Assigned;2011-10-05T07:38:35+01:00;Accepted
1-524375607;Assigned;2011-10-05T08:03:00+01:00;Accepted
1-524375607;In Progress;2011-11-08T14:44:51+01:00;Accepted
1-524375607;Closed;2012-04-10T16:19:54+01:00;Completed
1-525132931;In Progress;2011-05-12T10:42:03+01:00;Accepted
1-525132931;In Progress;2011-05-16T14:43:50+01:00;Accepted
1-525132931;Assigned;2012-03-30T16:15:20+01:00;Accepted
1-525132931;In Progress;2012-03-30T16:16:51+01:00;Accepted
1-525132931;Closed;2012-05-10T16:14:28+01:00;Completed
1-525447561;In Progress;2011-05-13T10:02:23+01:00;Accepted
1-525447561;Wait;2011-05-13T10:02:48+01:00;Accepted
1-525447561;Assigned;2011-07-12T09:28:53+01:00;Accepted
1-525447561;In Progress;2012-01-18T12:47:42+01:00;Accepted
1-525447561;Closed;2012-01-18T12:47:57+01:00;Completed
1-525477138;In Progress;2011-05-13T12:10:04+01:00;Accepted
1-525477138;In Progress;2012-04-24T14:29:31+01:00;Accepted
1-525477138;Closed;2012-04-24T14:29:51+01:00;Completed
1-525489753;In Progress;2011-05-13T13:14:59+01:00;Accepted
1-525489753;Awaiting Assignment;2011-05-13T13:21:52+01:00;Queued
1-525489753;In Progress;2011-05-16T06:15:26+01:00;Accepted
1-525489753;Assigned;2011-05-16T06:15:33+01:00;Accepted
1-525489753;In Progress;2012-02-06T21:20:01+01:00;Accepted
1-525489753;Closed;2012-02-06T21:20:56+01:00;Completed
1-525589021;In Progress;2011-05-13T16:23:13+01:00;Accepted
1-525589021;Closed;2012-02-01T16:40:02+01:00;Completed
1-526037041;In Progress;2011-05-16T14:09:56+01:00;Accepted
1-526037041;Closed;2012-02-01T16:50:06+01:00;Completed
1-526344555;In Progress;2011-05-17T11:53:00+01:00;Accepted
1-526344555;Awaiting Assignment;2011-05-17T12:04:18+01:00;Queued
1-526344555;In Progress;2011-05-18T03:37:22+01:00;Accepted
1-526344555;Assigned;2011-05-18T03:37:27+01:00;Accepted
1-526344555;In Progress;2012-01-30T21:53:30+01:00;Accepted
1-526344555;Closed;2012-01-30T21:55:33+01:00;Completed
1-526369142;In Progress;2011-05-17T13:37:22+01:00;Accepted
1-526369142;In Progress;2012-02-21T15:34:34+01:00;Accepted
1-526369142;Closed;2012-02-21T15:34:36+01:00;Completed
1-526414477;In Progress;2011-05-17T15:17:31+01:00;Accepted
1-526414477;Awaiting Assignment;2011-05-17T15:18:07+01:00;Queued
1-526414477;In Progress;2011-05-18T03:28:54+01:00;Accepted
1-526414477;Assigned;2011-05-18T03:29:06+01:00;Accepted
1-526414477;In Progress;2012-02-06T16:22:29+01:00;Accepted
1-526414477;Closed;2012-02-06T16:23:30+01:00;Completed
1-526414833;In Progress;2011-05-17T15:18:40+01:00;Accepted
1-526414833;Awaiting Assignment;2011-05-17T15:19:50+01:00;Queued
1-526414833;In Progress;2011-05-18T03:34:07+01:00;Accepted
1-526414833;Assigned;2011-05-18T03:34:13+01:00;Accepted
1-526414833;In Progress;2012-01-03T09:49:32+01:00;Accepted
1-526414833;Closed;2012-01-03T09:50:52+01:00;Completed
1-526647987;In Progress;2011-05-18T08:46:34+01:00;Accepted
1-526647987;In Progress;2012-02-21T15:20:44+01:00;Accepted
1-526647987;Closed;2012-02-21T15:20:52+01:00;Completed
1-527208576;In Progress;2011-05-19T22:28:42+01:00;Accepted
1-527208576;Wait;2011-10-27T12:59:32+01:00;Accepted
1-527208576;Closed;2012-02-08T22:43:06+01:00;Completed
1-527928641;In Progress;2011-05-23T13:57:39+01:00;Accepted
1-527928641;Wait;2012-01-30T13:21:24+01:00;Accepted
1-527928641;Closed;2012-03-28T12:34:53+01:00;Completed
1-528251011;In Progress;2011-05-24T10:28:27+01:00;Accepted
1-528251011;Awaiting Assignment;2011-09-06T13:09:34+01:00;Queued
1-528251011;In Progress;2011-09-12T12:25:53+01:00;Accepted
1-528251011;Wait;2012-01-04T15:54:14+01:00;Accepted
1-528251011;Closed;2012-04-13T12:45:24+01:00;Completed
1-528332261;In Progress;2011-05-24T14:00:25+01:00;Accepted
1-528332261;Assigned;2011-10-17T15:45:12+01:00;Accepted
1-528332261;Assigned;2011-11-29T07:22:55+01:00;Accepted
1-528332261;In Progress;2012-02-08T14:49:13+01:00;Accepted
1-528332261;Closed;2012-02-08T14:49:31+01:00;Completed
1-528716762;In Progress;2011-05-25T15:21:09+01:00;Accepted
1-528716762;Wait;2011-05-25T15:25:44+01:00;Accepted
1-528716762;In Progress;2012-01-03T13:58:05+01:00;Accepted
1-528716762;Closed;2012-01-03T13:58:52+01:00;Completed
1-528755863;In Progress;2011-05-25T16:45:52+01:00;Accepted
1-528755863;In Progress;2012-04-04T15:58:42+01:00;Accepted
1-528755863;Closed;2012-04-04T16:00:12+01:00;Completed
1-529091253;In Progress;2011-05-26T16:01:58+01:00;Accepted
1-529091253;In Progress;2012-04-04T16:04:24+01:00;Accepted
1-529091253;Closed;2012-04-04T16:05:26+01:00;Completed
1-529091311;In Progress;2011-05-26T16:05:47+01:00;Accepted
1-529091311;In Progress;2012-04-04T16:06:03+01:00;Accepted
1-529091311;Closed;2012-04-04T16:06:48+01:00;Completed
1-529471141;Wait;2011-05-27T17:13:49+01:00;Accepted
1-529471141;Awaiting Assignment;2011-05-27T17:24:20+01:00;Queued
1-529471141;In Progress;2012-04-04T14:42:22+01:00;Accepted
1-529471141;In Progress;2012-04-04T15:36:34+01:00;Accepted
1-529471141;Closed;2012-04-04T15:50:44+01:00;Completed
1-530147896;In Progress;2011-05-31T12:20:07+01:00;Accepted
1-530147896;Awaiting Assignment;2011-05-31T12:22:02+01:00;Queued
1-530147896;In Progress;2011-05-31T19:58:34+01:00;Accepted
1-530147896;Assigned;2011-05-31T19:58:40+01:00;Accepted
1-530147896;Awaiting Assignment;2011-06-23T22:20:06+01:00;Queued
1-530147896;Assigned;2011-06-23T22:22:26+01:00;Accepted
1-530147896;Awaiting Assignment;2011-06-28T10:29:03+01:00;Queued
1-530147896;In Progress;2011-06-29T03:21:19+01:00;Accepted
1-530147896;Assigned;2011-06-29T03:21:39+01:00;Accepted
1-530147896;In Progress;2012-02-02T21:51:10+01:00;Accepted
1-530147896;Closed;2012-02-02T21:52:46+01:00;Completed
1-530539767;In Progress;2011-06-01T15:02:03+01:00;Accepted
1-530539767;Awaiting Assignment;2011-06-01T15:07:09+01:00;Queued
1-530539767;In Progress;2011-06-01T19:53:21+01:00;Accepted
1-530539767;Assigned;2011-06-01T19:55:06+01:00;Accepted
1-530539767;In Progress;2012-02-06T22:11:51+01:00;Accepted
1-530539767;Closed;2012-02-06T22:13:04+01:00;Completed
1-530568802;In Progress;2011-06-01T14:38:53+01:00;Accepted
1-530568802;Awaiting Assignment;2011-06-01T14:41:27+01:00;Queued
1-530568802;In Progress;2011-06-01T19:50:10+01:00;Accepted
1-530568802;Assigned;2011-06-01T19:52:31+01:00;Accepted
1-530568802;In Progress;2011-06-23T22:12:29+01:00;Accepted
1-530568802;Awaiting Assignment;2011-06-23T22:14:18+01:00;Queued
1-530568802;Assigned;2011-06-23T22:22:36+01:00;Accepted
1-530568802;In Progress;2011-07-06T10:19:56+01:00;Accepted
1-530568802;Awaiting Assignment;2011-07-06T10:33:06+01:00;Queued
1-530568802;In Progress;2011-07-06T21:29:51+01:00;Accepted
1-530568802;Assigned;2011-07-06T21:29:59+01:00;Accepted
1-530568802;In Progress;2012-01-30T21:23:29+01:00;Accepted
1-530568802;Closed;2012-01-30T21:46:35+01:00;Completed
1-531435394;In Progress;2011-06-06T17:12:34+01:00;Accepted
1-531435394;Wait;2011-06-06T17:26:36+01:00;Accepted
1-531435394;Closed;2012-02-15T12:50:50+01:00;Completed
1-531872604;In Progress;2011-06-07T22:21:06+01:00;Accepted
1-531872604;Wait;2011-06-08T12:12:31+01:00;Accepted
1-531872604;Awaiting Assignment;2011-06-30T09:19:59+01:00;Queued
1-531872604;In Progress;2011-11-21T11:58:02+01:00;Accepted
1-531872604;In Progress;2011-11-21T11:58:40+01:00;Accepted
1-531872604;Assigned;2011-11-21T15:00:09+01:00;Accepted
1-531872604;Assigned;2012-01-04T12:27:59+01:00;Accepted
1-531872604;In Progress;2012-01-04T12:28:00+01:00;Accepted
1-531872604;Closed;2012-01-06T15:35:57+01:00;Completed
1-532038065;In Progress;2011-06-08T10:44:43+01:00;Accepted
1-532038065;Wait;2011-06-08T10:46:39+01:00;Accepted
1-532038065;In Progress;2012-01-11T14:23:37+01:00;Accepted
1-532038065;Closed;2012-02-02T23:21:34+01:00;Completed
1-532084405;In Progress;2011-06-08T13:27:25+01:00;Accepted
1-532084405;Awaiting Assignment;2011-06-08T13:33:07+01:00;Queued
1-532084405;In Progress;2011-06-09T12:12:36+01:00;Accepted
1-532084405;Assigned;2011-06-09T12:15:38+01:00;Accepted
1-532084405;In Progress;2012-02-06T21:16:22+01:00;Accepted
1-532084405;Closed;2012-02-06T21:17:44+01:00;Completed
1-532544114;In Progress;2011-06-09T16:34:52+01:00;Accepted
1-532544114;In Progress;2012-02-15T11:15:58+01:00;Accepted
1-532544114;Closed;2012-02-15T11:16:22+01:00;Completed
1-532816930;In Progress;2011-06-10T16:33:05+01:00;Accepted
1-532816930;In Progress;2011-06-10T16:34:10+01:00;Accepted
1-532816930;Closed;2012-01-09T10:29:29+01:00;Completed
1-533449912;In Progress;2011-06-14T08:56:53+01:00;Accepted
1-533449912;Awaiting Assignment;2011-06-14T09:03:42+01:00;Queued
1-533449912;In Progress;2011-06-16T11:08:13+01:00;Accepted
1-533449912;Assigned;2011-06-16T11:09:31+01:00;Accepted
1-533449912;In Progress;2012-01-30T13:08:15+01:00;Accepted
1-533449912;Closed;2012-01-30T13:08:58+01:00;Completed
1-533851634;In Progress;2011-06-15T12:13:35+01:00;Accepted
1-533851634;Awaiting Assignment;2011-06-15T12:16:38+01:00;Queued
1-533851634;In Progress;2011-06-15T12:23:33+01:00;Accepted
1-533851634;Assigned;2011-06-15T12:25:44+01:00;Accepted
1-533851634;In Progress;2012-02-02T22:28:50+01:00;Accepted
1-533851634;Closed;2012-02-02T22:31:56+01:00;Completed
1-534020390;In Progress;2011-06-15T23:36:16+01:00;Accepted
1-534020390;In Progress;2011-06-15T23:37:03+01:00;Accepted
1-534020390;Assigned;2011-06-15T23:41:53+01:00;Accepted
1-534020390;In Progress;2012-02-10T15:46:53+01:00;Accepted
1-534020390;Closed;2012-02-10T15:48:43+01:00;Completed
1-534493180;In Progress;2011-06-17T08:24:42+01:00;Accepted
1-534493180;Assigned;2011-06-17T08:25:34+01:00;Accepted
1-534493180;Assigned;2011-08-16T14:28:48+01:00;Accepted
1-534493180;Wait;2011-08-18T17:25:53+01:00;Accepted
1-534493180;Closed;2012-02-15T12:52:00+01:00;Completed
1-534702904;In Progress;2011-06-17T16:36:51+01:00;Accepted
1-534702904;In Progress;2011-09-16T10:01:52+01:00;Accepted
1-534702904;Closed;2012-02-16T15:35:00+01:00;Completed
1-535052125;In Progress;2011-06-20T11:01:18+01:00;Accepted
1-535052125;Wait;2011-09-08T11:40:35+01:00;Accepted
1-535052125;In Progress;2011-09-13T09:53:29+01:00;Accepted
1-535052125;Awaiting Assignment;2011-09-13T10:18:48+01:00;Queued
1-535052125;In Progress;2011-09-14T08:15:06+01:00;Accepted
1-535052125;Awaiting Assignment;2011-09-14T08:16:17+01:00;Queued
1-535052125;In Progress;2011-09-14T10:34:19+01:00;Accepted
1-535052125;Awaiting Assignment;2011-09-14T11:48:48+01:00;Queued
1-535052125;In Progress;2011-09-14T14:34:38+01:00;Accepted
1-535052125;Awaiting Assignment;2011-09-14T14:40:59+01:00;Queued
1-535052125;In Progress;2011-09-14T14:42:24+01:00;Accepted
1-535052125;Assigned;2011-09-14T15:16:19+01:00;Accepted
1-535052125;In Progress;2012-01-17T13:13:47+01:00;Accepted
1-535052125;Closed;2012-01-17T13:15:49+01:00;Completed
1-535233659;In Progress;2011-06-20T18:30:19+01:00;Accepted
1-535233659;Awaiting Assignment;2011-06-20T18:31:39+01:00;Queued
1-535233659;In Progress;2011-06-21T07:33:31+01:00;Accepted
1-535233659;Assigned;2011-06-21T07:38:54+01:00;Accepted
1-535233659;In Progress;2012-01-30T13:09:17+01:00;Accepted
1-535233659;Closed;2012-01-30T13:10:08+01:00;Completed
1-535393553;In Progress;2011-06-21T09:47:26+01:00;Accepted
1-535393553;Closed;2012-01-12T11:45:27+01:00;Completed
1-535418135;In Progress;2011-06-21T11:01:27+01:00;Accepted
1-535418135;Wait;2011-07-28T13:22:47+01:00;Accepted
1-535418135;Wait;2011-07-28T13:24:26+01:00;Accepted
1-535418135;In Progress;2012-01-19T15:23:31+01:00;Accepted
1-535418135;Closed;2012-01-19T15:25:35+01:00;Completed
1-535439201;In Progress;2011-06-21T10:23:47+01:00;Accepted
1-535439201;Wait;2011-06-21T10:44:50+01:00;Accepted
1-535439201;Closed;2012-03-02T09:16:48+01:00;Completed
1-535813109;In Progress;2011-06-22T10:24:31+01:00;Accepted
1-535813109;Closed;2012-01-03T15:57:21+01:00;Completed
1-535813203;In Progress;2011-06-22T10:29:01+01:00;Accepted
1-535813203;Closed;2012-01-04T15:41:01+01:00;Completed
1-535813236;In Progress;2011-06-22T10:31:28+01:00;Accepted
1-535813236;Closed;2012-01-04T15:41:14+01:00;Completed
1-535813278;In Progress;2011-06-22T10:34:30+01:00;Accepted
1-535813278;Closed;2012-01-03T15:58:00+01:00;Completed
1-535813300;In Progress;2011-06-22T10:48:28+01:00;Accepted
1-535813300;Closed;2012-01-03T15:58:43+01:00;Completed
1-535813432;In Progress;2011-06-22T10:50:21+01:00;Accepted
1-535813432;Closed;2012-01-03T15:59:05+01:00;Completed
1-535813517;In Progress;2011-06-22T11:08:40+01:00;Accepted
1-535813517;Closed;2012-01-03T15:59:36+01:00;Completed
1-535813813;In Progress;2011-06-22T12:00:23+01:00;Accepted
1-535813813;Closed;2012-01-03T16:00:05+01:00;Completed
1-536299706;In Progress;2011-06-23T20:04:57+01:00;Accepted
1-536299706;Awaiting Assignment;2011-06-23T20:05:33+01:00;Queued
1-536299706;In Progress;2011-06-23T22:05:57+01:00;Accepted
1-536299706;Assigned;2011-06-23T22:06:02+01:00;Accepted
1-536299706;Awaiting Assignment;2011-06-24T20:10:43+01:00;Queued
1-536299706;Assigned;2011-06-24T20:11:55+01:00;Accepted
1-536299706;In Progress;2011-06-30T21:20:42+01:00;Accepted
1-536299706;Awaiting Assignment;2011-06-30T21:35:02+01:00;Queued
1-536299706;Awaiting Assignment;2011-06-30T21:35:03+01:00;Queued
1-536299706;In Progress;2011-07-01T00:54:29+01:00;Accepted
1-536299706;Assigned;2011-07-01T00:54:53+01:00;Accepted
1-536299706;In Progress;2012-01-30T12:40:26+01:00;Accepted
1-536299706;Closed;2012-01-30T12:40:27+01:00;Completed
1-536904633;In Progress;2011-06-27T14:07:20+01:00;Accepted
1-536904633;Closed;2012-01-12T11:45:51+01:00;Completed
1-537169872;In Progress;2011-06-28T11:05:28+01:00;Accepted
1-537169872;Awaiting Assignment;2011-07-01T16:05:33+01:00;Queued
1-537169872;Assigned;2011-07-12T14:28:19+01:00;Accepted
1-537169872;Awaiting Assignment;2011-09-05T09:14:45+01:00;Queued
1-537169872;Assigned;2011-10-20T08:57:26+01:00;Accepted
1-537169872;In Progress;2012-01-09T14:45:16+01:00;Accepted
1-537169872;Closed;2012-01-09T14:48:33+01:00;Completed
1-537311033;Awaiting Assignment;2011-06-28T15:57:00+01:00;Queued
1-537311033;In Progress;2011-08-25T15:31:54+01:00;Accepted
1-537311033;Closed;2012-01-18T13:18:10+01:00;Completed
1-537601770;In Progress;2011-06-29T12:44:22+01:00;Accepted
1-537601770;Awaiting Assignment;2011-06-29T13:04:39+01:00;Queued
1-537601770;In Progress;2011-07-01T08:27:35+01:00;Accepted
1-537601770;Wait;2012-04-04T16:27:27+01:00;Accepted
1-537601770;Closed;2012-05-21T14:05:06+01:00;Completed
1-537902763;In Progress;2011-06-30T09:35:50+01:00;Accepted
1-537902763;Closed;2012-01-12T11:46:25+01:00;Completed
1-537984625;In Progress;2011-06-30T13:08:27+01:00;Accepted
1-537984625;Awaiting Assignment;2011-06-30T13:49:37+01:00;Queued
1-537984625;In Progress;2012-05-25T13:44:54+01:00;Accepted
1-537984625;Closed;2012-05-25T13:46:50+01:00;Completed
1-538109148;In Progress;2011-06-30T19:50:49+01:00;Accepted
1-538109148;Assigned;2011-08-11T12:58:58+01:00;Accepted
1-538109148;Assigned;2011-08-16T10:33:12+01:00;Accepted
1-538109148;Assigned;2011-08-16T10:33:56+01:00;Accepted
1-538109148;In Progress;2011-12-14T16:02:20+01:00;Accepted
1-538109148;In Progress;2012-01-17T15:39:10+01:00;Accepted
1-538109148;Closed;2012-01-17T15:39:21+01:00;Completed
